id,nombre
321,Tipos de Estado
322,Jurisdicción del Estado
323,Relaciones del Estadp con individuos o grupos
324,Sufragio Elecciones
325,Migración internacional y colonización
326,Esclavitud
327,Relaciones internacionales
328,Legislación
329,Partidos políticos
330,ECONOMÍA
331,Trabajo y problemas del trabajo
332,Finanzas privadas
333,Economía de tierras
334,Cooperación
335,Sistemas colectivistas
336,Hacienda Pública
337,Política arancelaria
338,Producción
339,Ingreso y riqueza
D340,DERECHO
D341,Derecho internacional
D342,Derecho constitucional
D343,Derecho penal
D344,Derecho administrativo
D345,Derecho procesal penal y civil
D346,Derecho civil
D347,Derecho comercial
D348,Derechos especiales
D349,Historia del derecho. Derecho clasificado por los países
350,ADMINISTRACIÓN PÚBLICA
351,Problemas de la administración pública
352,Gobierno local
353,Gobierno federal y estatal de los EE.UU. de Norteamérica
354,Administración de las ramas del poder ejecutivo de otros países
355,Ciencia y arte militar
356,Servivios y fuerzas terrestres
357,Caballería
358,Fuerzas y servicios aéreos
359,Fuerzas navales
360,BIENESTAR SOCIAL
361,Servicio social e instituciones sociales
362,Servicios de bienestar social
364,Criminología
365,Penalogía
366,Asociaciones
367,Clubes sociales
368,Seguros
369,Otras asociaciones e instituciones
370,EDUCACIÓN
371,Enseñanza
372,Enseñanza primaria
373,Enseñanza secundaria
374,Educación de adultos
375,Programas de estudios (Curriculum) Programa de materias
376,Educación femenina
377,Enseñanza moral y religiosa
378,Enseñanza universitaria y superior
379,La enseñanza y el estado
380,COMERCIO
381,Comercio interior
382,Comercio internacional
383,Comunicación postal
384,Comunicaciones
385,Transporte
386,"Transporte por ríos, canales y lagos"
387,Transporte marítimo
387.7,Transporte aéreo
388,Transporte por carreteras
389,Pesas y medidad Metrología
390,COSTUMBRES
392,Costumbres del ciclo de vida individual
393,Costumbres funerarias
394,Costumbres políticas y sociales
395,Etiqueta
396,Posición de la mujer en la sociedad
397,Gitanos
398,Folklore
399,Costumbres de guerra
400,LINGÜISTICA
408,COLECCIONES LENGUAS ARTIFICIALES UNIVERSALES
410,LINGÜISTICA COMPARADA
411,Escritura
412,Etimilogía Semántica
413,Lexicografía Diccionarios políglotas
414,Fonética
415,Gramática Morfología Sintaxis
416,Prosodia
417,Inscripciones Paleografía
418,Textos
419,"Lenguaje mímico, simbólico o ideográfico"
420,INGLÉS
430,ALEMÁN
439,LENGUAS GERMÁNICAS
440,FRANCES
449,PROVENZAL
450,ITALIANO
459,RUMANO
460,CASTELLANO
461,   Escritura
462,   Derivaciones
463,   Diccionarios
464,   Sinónimos Homónimos Antónimos
465,   Gramática
466,   Prosodia
467,   Provincialismos Jerga Dialectología
468,   Textos para la enseñanza del castellano
469,PORTUGUES
470,LATÍN
479,OTRAS LENGUAS ITÁLICAS LATÍN MEDIOEVAL Y MODERNO (LATÍN ECLESIÁSTICO)
480,GRIEGO
489,GRUPO HELÉNICO GRIEGO MODERNO
490,OTRAS LENGUAS
491,Lenguas indoeuropeas e indo-hitita
492,Lenguas semíticas
493,Lenguas camíticas
494,"Lenguas tungusas, mogolas, turco-tártaras, samoyedas, ugrofinesas y del grupo hiperbóreo"
495,"Lenguas chino-tibetanas, japonesa-coreana, austroasiáticas"
496,Lenguas africanas
497,Lenguas de América del Norte
498,Lenguas de América del Sur
499,Lenguas austronesias
500,CIENCIAS PURAS
508,COLECCIONES
510,MATEMÁTICAS
512,Álgebra
513,Geometría
514,Trigonometría
515,Geometría descriptiva
516,Geometría analítica euclideana
517,Cálculo
519,Probabilidad
520,ASTRONOMÍA
521,Dinámica celeste
522,Observatorio e instrumentos
523,Astronomía descriptiva Astrofísica
524,Mapas y tablas astronómicas
525,Tierra
526,Geodesia
527,Astronomía aplicada a la navegación
528,Almanaques naúticos y efemérides
529,Mediciones del tiempo
530,FÍSICA
532,Mecánica de los líquidos
533,Mecánica de los gases
534,Sonido
535,Óptica
540,QUÍMICA
541,Fisicoquímica
542,Aparatos y equipos para laboratorios químicos
543,Análisis
544,Análisis cualitativo
545,Análisis cuantitativo
546,Química inorgánica
547,Química Orgánica
548,CRISTALOGRAFÍA
549,MINERALOGÍA
550,GEOLOGÍA
551,Geología-física y dinámica
552,Petrología
553,Geología económica y aplicada
554,Geología de Europa
555,Geología de Asia
556,Geología de Africa
557,Geología de América del Norte
558,Geología de América del Sur
559,Geología de Oceanía y de las regiones polares
560,PALEONTOLOGÍA
561,Paleofitología
562,Paleozoología de los invertebrados
563,"Protozoa, porífera, cnidaria, achinodermata"
564,Mollusca y Molluscoidea
565,Arthropoda
566,Paleozoología de los vertebrados
567,Peces
568,Saurpsida (Reptiles y aves)
569,Mammalia
570,CIENCIAS BIOLÓGICAS
571,Arquelogía
572,Antropología
573,Antropología física
574,Biología Ecología
575,Evolución Genética
576,Microbiología
578,Técnicas biológicas
579,Colecciones de historia natural y biológica
580,BOTÁNICA
581,Fisiología y morfología vegetal
582,Botánica sistemática o taxonómica
583,Dicotiledóneas
584,Monocotiledóneas
585,Gimnospermas
586,Criptógamas
587,Pteridofitas
588,Briofitas
589,Talofitas
590,ZOOLOGÍA
591,Zoología general
592,Invertebrada
593,   Protozoa Mesozoa
594,   Mollusca y molluscoidea
595,   Articulata
595.1,   Vermes
595.3,   Crustacea
595.4,   Arachnida
595.5,   Onychophora
595.6,   Myriapoda
595.7,   Insecta (hexapoda)
596,Chordates
597,   Peces
597.6,   Amphibia
598,   Reptilia Aves
599,   Mammalia
599.9,   Hombre
600,CIENCIA APLICADA
608,PATENTE E INVENTOS
610,CIENCIAS MÉDICAS
611,Anatomía
612,Fisiología humana
613,Higiene personal
614,Salud pública y medicina preventiva
615,Terapéutica
616,Patología interna y clínica médica
617,Cirugía
618,Ginecología y obstetricia
618.9,Pediatría
618.97,GERONTOLOGÍA
620,INGENIERÍA
621,Ingeniería mecánica
622,Ingeniería de minas
623,Ingeniería militar
624,Ingeniería estructural
625,Ingeniería del transporte
627,Ingeniería hidráulica
628,Ingeniería sanitaria
629,Otras ramas de la ingeniería
629.4,Viajes espaciales
630,AGRICULTURA Y GANADERÍA
631,Administración agrícola
632,Factores perjudiciales en la producción agrícola
633,Cultivos extensivos
634,Fruticultura
634.9,Dasonomía
635,Horticultura
636,Zootecnia
637,Industria láctea y sus derivados
638,"Cría de abejas, gusanos de seda y otros insectos"
639,Industria de la caza y de la pesca
640,ECONOMÍA DOMÉSTICA
641,Alimentos
642,Comidas y agasajos
643,Plan de distribución de la casa
645,Amueblado de la casa
646,Indumentaria y aspecto personal
647,Organización y administración de la casa y otros tipos de vivienda
648,Higiene y sanidad del hogar
649,Cuidado de niños y enfermería en el hogar
650,EMPRESAS Y SISYEMAS COMERCIALES
651,Dirección de oficinas
652,Escritura
653,Taquigrafía
655,Industria de las artes gráficas
657,Contabilidad
658,Administración de empresas
659,Otros temas relacionados con las empresas
660,TECNOLOGÍA QUÍMICA QUÍMICA INDUSTRIAL
661,Productos químicos industriales
662,Explosivos Tecnología de los combustibles Carbones de uso industrial
663,Bebidas
664,Industria de los alimentos
665,Lubricantes Tecnología del petróleo
666,Tecnología de la cerámica
667,Limpieza y blanqueo Teñido
668,Otros materiales y productos de química orgánica
669,Metalurgia
670,MANUFACTURAS
671,Manufactura de metales
672,Manufactura del hierro y del acero Aleaciones del hierro
673,Manufactura de otros metales y sus aleaciones
674,Industria de la madera
675,Industria de cueros y pieles
676,"Manufactura de pulpa, papel y celulosa"
677,Industria de textiles y de otros fibras
678,Caucho y manufacturas de caucho
679,Otras manufacturas
680,MANUFACTURAS (Continuación)
681,Manufacturas de instrumentos
682,Herrería
683,Armería
684,Carpintería
685,Manufactura de artículos de cuero
687,Industria de la ropa
688,Fabricación de artículos pequeños
690,CONSTRUCCIÓN DE EDIFICIOS
691,Materiales de construcción
692,Prácticas de construcción
693,Sistemas de Construcción
694,Construcción en madera
