id,titulo,autor,editorial,pags,isbn,ejemplares,leido,num
709 C18a,Arte Precolombino y Colonial de la América Latina,"Castedo, Leopoldo","Salvat Editores, S.A.",172,-,1,f,050B
843 B15g,"Goriot, El Padre","Balzac, Honoré de","Salvat Editores, S.A.",206,-,1,f,049B
574 D17v,Viaje de una Naturalista,"Darwin, Charles R.","Salvat Editores, S.A.",212,-,1,f,048B
853 P19b,"Bello Verano, El","Pavese, Cesare","Salvat Editores, S.A.",148,-,1,f,046B
829.3 S16n,"Novia de Lammermoor, La","Scott, Walter","Salvat Editores, S.A.",200,-,1,f,045B
875 S26c,Consolación a mi madre Helvia - Cartas a Lucilio - Sobre los Beneficios,"Séneca, Lucio Anneo","Salvat Editores, S.A.",158,-,1,f,044B
813 M11b,"Balada del Café Triste, La - Reflejos en un Ojo Dorado","McCullers, Carson","Salvat Editores, S.A.",172,-,1,f,043B
Pe863 V16c,"Cachorros, Los - Desafío, El - Día Domingo","Vargas Llosa, Mario","Salvat Editores, S.A.",148,-,1,f,058A
111 M17t,Tres Visiones de la Vida Humana,"Marías, Julián","Salvat Editores, S.A.",164,-,1,f,042B
863 H15m,Manuela,"Halcón, Manuel","Salvat Editores, S.A.",182,-,1,f,041B
861 M17a,Antología de la Poesía Romántica Española,"Marco, Joaquín","Salvat Editores, S.A.",188,-,1,f,095B
843 P72m,Manon Lescaut,"Prévost, Abate","Salvat Editores, S.A.",142,-,1,f,094B
829.3 J69d,Dublineses,"Joyce, James","Salvat Editores, S.A.",190,-,1,f,093B
863 M18p,Primera Memoria,"Matute, Ana María","Salvat Editores, S.A.",158,-,1,f,092B
108 F27c,"Crisis Humanas, Las","Ferrater Mora, José","Salvat Editores, S.A.",172,-,1,f,091B
909 S15c,Conciencia del Subdesarrollo,"Sampedro, José Luis","Salvat Editores, S.A.",174,-,1,f,090B
823 B76j2,Jane Eyre II,"Brontë, Charlotte","Salvat Editores, S.A.",214,-,1,f,089B
823 B76j1,Jane Eyre,"Brontë, Charlotte","Salvat Editores, S.A.",212,-,1,f,088B
070 T17p,Panorama del Periodismo Hispanoamericano,"Tarín-Iglesias, José","Salvat Editores, S.A.",220,-,1,f,086B
823 W45c,Cuentos,"Wilde, Oscar","Salvat Editores, S.A.",140,-,1,f,085B
863 G65g,Greguerías (Selección),"Gómez de la Serna, Ramón","Salvat Editores, S.A.",176,-,1,f,084B
860 G17u,Unamuno y Ortega,"Garagorri, Paulino","Salvat Editores, S.A.",142,-,1,f,083B
709 T17a,"Arte Griego y Romano, El","Tarradell, Miguel","Salvat Editores, S.A.",140,-,1,f,082B
