id,titulo,autor,editorial,pags,isbn,ejemplares,leido,db_id
863.9 V23u,"Utopía Incaica, La","Vega, Garcilaso de la","Salvat Editores, S.A.",168,-,1,f,405.0
863 V45m,"Muerte de una Dama, La","Villalonga, Lorenzo","Salvat Editores, S.A.",134,-,1,f,406.0
888 P58v,Vidas Paralelas,Plutarco,"Salvat Editores, S.A.",200,-,1,f,407.0
891.3 G63t,Taras Bulba,"Gógol, Nikolai Vasílievich","Salvat Editores, S.A.",142,-,1,f,408.0
823 C17m,Mister Johnson,"Cary, Joyce","Salvat Editores, S.A.",214,-,1,f,409.0
833 E41c,Cuentos del Romanticismo Alemán,"Eichendorff, Joseph Baron von…","Salvat Editores, S.A.",168,-,1,f,410.0
891.3 N11p,Pnin,"Nabokov, Vladimir","Salvat Editores, S.A.",152,-,1,f,411.0
863 C11g,"Gaviota, La","Caballero, Fernán","Salvat Editores, S.A.",230,-,1,f,412.0
861 C78g,Grandes Poetas de Hispanoamérica,"Cruz, Sor Juana Inés","Salvat Editores, S.A.",200,-,1,f,413.0
813 L66l,"Llamado del Bosque y Otros Cuentos, El","London, jack","Salvat Editores, S.A.",158,-,1,f,414.0
863 A81v,Vida y Obra de Luis Álvarez Petreña,"Aub, max","Salvat Editores, S.A.",216,-,1,f,415.0
899.93L19p,Paraíso Reclamado,"Laxness, Halldor","Salvat Editores, S.A.",218,-,1,f,416.0
833 B65t,"Tren Llegó Puntual, El","Böll, Heinrich","Salvat Editores, S.A.",130,-,1,f,417.0
813 H19l,"Letra Escarlata, La","Hawthorne, Nathaniel","Salvat Editores, S.A.",206,-,1,f,418.0
863 G17s,Su Único Hijo,"García-Alas Ureña, Leopoldo Enrique (Clarín)","Salvat Editores, S.A.",220,-,1,f,419.0
843 M18 b,Bola de Sebo y Otros Relatos,"Maupassant, Guy de","Salvat Editores, S.A.",176,-,1,f,420.0
701 O54i,"Impresionistas, Los","Olivar, Marcial","Salvat Editores, S.A.",142,-,1,f,421.0
C865 V15p,Páginas Inmortales de Guillermo Valencia,"Valencia, Guillermo",Instituto Colombiano de Cultura,168,-,1,f,422.0
C868 C67f,"Fiestas de Toros… Y Otras Fiestas, Las (Cuadros de Costumbres)","Cordovez Moure, José María",Instituto Colombiano de Cultura,148,-,1,f,423.0
782 A11c,Coplerío Colombiano,"Abadía M., Guillermo",Instituto Colombiano de Cultura,128,-,1,f,424.0
C862 V17c,"Convulsiones, Las","Vargas Tejada, Luis",Instituto Colombiano de Cultura,88,-,1,f,425.0
E863 C81c,Cuentos Ecuatorianos I,"Cuadra, José de la",Instituto Colombiano de Cultura,152,-,1,f,426.0
C863 A59p,"Patria y los Días, La. Antología de Crónicas I","Alzate Avendaño, Gilberto",Instituto Colombiano de Cultura,152,-,1,f,427.0
863 C27c,"Celoso Extremeño, El","Cervantes Saavedra, Miguel de",Instituto Colombiano de Cultura,80,-,1,f,428.0
986.1 A16d,Descubridor y Fundador,"Acosta de Samper, Soledad",Instituto Colombiano de Cultura,104,-,1,f,429.0
891.3 L47c,Capitanes Intrépidos,"Kipling, Rudyard",Instituto Colombiano de Cultura,216,-,1,f,430.0
986.1 V15p,Políticos en la Intimidad,"Vallejo, Alejandro",Instituto Colombiano de Cultura,108,-,1,f,431.0
C863 B66l,Lucero - Cuento de Navidad y Otros Cuentos Infantiles,"Bonilla Naar, Alfonso…",Instituto Colombiano de Cultura,104,-,1,f,432.0
C863 S45p,"Par de Pichones, Un","Silvestre, Luis Segundo",Instituto Colombiano de Cultura,140,-,1,f,433.0
862 V23n,"Nuevo mundo Descubierto por Cristobal Colón, El","Vega, Félix Lope de",Instituto Colombiano de Cultura,200,-,1,f,434.0
V863 B51c,Cuentos Venezolanos. Antología I,"Blanco Fombona, Rufino",Instituto Colombiano de Cultura,200,,1,f,435.0
C861 J17n,Nueva Poesía Colombiana. Antología,"Jaramillo Escobar, Jaime",Instituto Colombiano de Cultura,100,-,1,f,436.0
C861 A71p,"Patria y los Días, La. Antología de Crónicas II","Arciniegas, Germán…",Instituto Colombiano de Cultura,148,-,1,f,437.0
923 S16m,"Mi Vida y Otras Vidas, De. Extractos","Sanín Cano, Baldomero",Instituto Colombiano de Cultura,80,-,1,f,438.0
893 B15b1,"Búsqueda de lo Absoluto I, La","Balzac, Honorato de",Instituto Colombiano de Cultura,148,-,1,f,439.0
C861 P65l,Lección de Poesía. Selección de Poemas para Niños,"Pombo, Rafael",Instituto Colombiano de Cultura,120,-,2,f,440.0
923 M47b1,Bolívar. I - La Forja del Héroe,"Miramón, Alberto",Instituto Colombiano de Cultura,128,-,1,f,441.0
070.43 S16d,"Danza de las horas, La","Calibán, Seud",Instituto Colombiano de Cultura,160,-,1,f,442.0
923 M47b2,Bolívar. II - Prometeo Criollo,"Miramón, Alberto",Instituto Colombiano de Cultura,160,-,1,f,443.0
C861 R64c,Cuadernos de Piedra y Cielo,"Rojas, Jorge…",Instituto Colombiano de Cultura,164,-,1,f,444.0
C862 O86z,"Zar de precios y Otras Obras, El","Osorio, Luis Enrique",Instituto Colombiano de Cultura,168,-,1,f,445.0
P863 A51c,Cuentos Panameños. Antología,"Alba, Manuel María",Instituto Colombiano de Cultura,160,-,1,f,446.0
C863 V15s,7 Cuentistas Jóvenes,"Valencia, Elmo",Instituto Colombiano de Cultura,144,-,1,f,447.0
891.3 G67j,"Jóven Italia, La","Gorki, Máximo",Instituto Colombiano de Cultura,128,-,1,f,448.0
C863 P68h,"Hombres de el Dorado, Los","Posada, Eduardo",Instituto Colombiano de Cultura,128,-,1,f,449.0
