id,titulo,autor,editorial,pags,isbn,ejemplares,leido,db_id
823 W 66f,Flush,"Woolf, Virginia","Salvat Editores, S.A.",156,-,1,f,593.0
823 W45r,"Retrato de Dorian Gray, El","Wilde, Oscar","Salvat Editores, S.A.",206,-,1,f,594.0
829.3 S94v,Viajes de Gulliver,"Swift, Jonathan","Salvat Editores, S.A.",192,-,1,f,595.0
833 G62w,Werther,"Goethe, Johann Wolfgang von","Salvat Editores, S.A.",176,-,1,f,596.0
833 H24n,Noches Florentinas - Memorias del Señor de Schnabelewopski,"Heine, Heinrich","Salvat Editores, S.A.",156,-,1,f,597.0
842 M65e,"Enfermero Imaginario, El; Médico a Palos, El",Molière,"Salvat Editores, S.A.",190,-,1,f,598.0
843 B15a,"Asunto Tenebroso, Un","Balzac, Honore de","Salvat Editores, S.A.",180,-,1,f,599.0
843 F19p,"Princesa de Cleves, La","Fayette, Madame de la","Salvat Editores, S.A.",180,-,1,f,600.0
843 M18d,"Desierto del Amor, El","Mauriac, François","Salvat Editores, S.A.",180,-,1,f,601.0
843 S82r,Relatos,Stendhal,"Salvat Editores, S.A.",162,-,1,f,602.0
843 V27e,Escuela de Robinsones,"Verne, Julio","Salvat Editores, S.A.",190,-,1,f,603.0
852 P47d,"Difunto Matías Pascal, El","Pirandello, Luigi","Salvat Editores, S.A.",228,-,1,f,604.0
853 P19d,"Diablo Sobre las Colinas, El","Pavese, Cesare","Salvat Editores, S.A.",166,-,1,f,605.0
860 R47a,Aproximación al Quijote,"Riquer, Martín de","Salvat Editores, S.A.",170,-,1,f,606.0
861 A56c,Cancionero y Romancero Español,"Alonso, Dámaso","Salvat Editores, S.A.",204,-,1,f,607.0
861 M11a,Antología Poética,"Machado, Antonio","Salvat Editores, S.A.",192,-,1,f,608.0
862 B17v,"Vida es Sueño, La; Alcalde de Zalamea, El","Barca, Calderón de la","Salvat Editores, S.A.",198,-,1,f,609.0
862 B26i,"Intereses Creados, Los","Benavente, Jacinto","Salvat Editores, S.A.",140,-,1,f,610.0
862 P66e,Eloisa Está Debajo de un Almendro,"Poncela, Enrique Jardiel","Salvat Editores, S.A.",174,-,1,f,611.0
862 R64c,"Celestina, La","Rojas, Fernando de","Salvat Editores, S.A.",192,-,1,f,612.0
862 V23f,"Fuente Ovejuna; Caballero de Olmedo, El","Vega, Lope de","Salvat Editores, S.A.",190,-,1,f,613.0
863 A51d,Doña Berta y otros Relatos,"Alas, Leopoldo 'Clarín'","Salvat Editores, S.A.",192,-,1,f,614.0
863 A52t,"Tierra de Nadie y Otros Relatos, La","Aldecoa, Ignacio","Salvat Editores, S.A.",194,-,1,f,615.0
863 A66f,"Florecillas de San Francisco, Las",Anónimo,"Salvat Editores, S.A.",182,-,1,f,616.0
863 A96t,Tiempos y Cosas,Azorín,"Salvat Editores, S.A.",164,-,1,f,617.0
863 B17b,"Busca, La","Baroja, Pío","Salvat Editores, S.A.",190,-,1,f,618.0
863 C25m,Mrs. Caldwell Habla con su Hijo,"Cela, Camilo José","Salvat Editores, S.A.",188,-,1,f,619.0
863 C27l,"Licenciado Vidriera y Otras Novelas Ejemplares, El","Cervantes Saavedra, Miguel de","Salvat Editores, S.A.",192,-,1,f,620.0
863 C86c,"Crónicas del Sochantre, Las","Cunqueiro, Álvaro","Salvat Editores, S.A.",166,-,1,f,621.0
863 D25h,"Hoja Roja, La","Delibes, Miguel","Salvat Editores, S.A.",192,-,1,f,622.0
863 F27b,"Bravos, Los","Fernandez Santos, Jesús","Salvat Editores, S.A.",198,-,1,f,623.0
863 F27v,Volvoreta,"Fernández Florez, Wenceslao","Salvat Editores, S.A.",182,-,1,f,624.0
863 G65c,"Caballero del Hongo Gris, El","Gomez de la Serna, Ramón","Salvat Editores, S.A.",180,-,1,f,625.0
863 M47a,Años y Leguas,"Miró, Gabriel","Salvat Editores, S.A.",190,-,1,f,626.0
863 P27t,Trafalgar,"Pérez Galdós, Benito","Salvat Editores, S.A.",188,-,1,f,627.0
863 Q82v,"Vida del Buscón Llamado Don Pablos, La","Quevedo, Francisco de","Salvat Editores, S.A.",190,-,1,f,628.0
863 S16a,Alfanhui,"Sánchez Ferlosio, Rafael","Salvat Editores, S.A.",166,-,1,f,629.0
863 S26b,"Bandido Adolescente, El","Sender, Ramón J.","Salvat Editores, S.A.",188,-,1,f,630.0
863 U61t,"Tía Tula, La","Unamuno, Miguel de","Salvat Editores, S.A.",188,-,1,f,631.0
863 V15j,Juanita la Larga,"Valera, Juan","Salvat Editores, S.A.",192,-,1,f,632.0
863A66l,"Lazarillo de Tormes - Diablo Cojuelo, El",Anónimo,"Salvat Editores, S.A.",182,-,1,f,633.0
864 O78 e,"Espectador, El","Ortega Y Gasset, José","Salvat Editores, S.A.",190,-,1,f,634.0
882 P58a,Alejandro y César,Plutarco,"Salvat Editores, S.A.",182,-,1,f,635.0
882 S63a,"Ayax, Antígona, Edipo Rey",Sófocles,"Salvat Editores, S.A.",182,-,1,f,636.0
891.3 A66m,"Mil y Una Noches (Antología), Las",Anónimo,"Salvat Editores, S.A.",170,-,1,f,637.0
891.3 C32n,Narraciones,"Chéjov, Antón Pávlovich","Salvat Editores, S.A.",174,-,1,f,638.0
891.3 D68j,"Jugador, El","Dostoievski, fedor","Salvat Editores, S.A.",190,-,1,f,639.0
891.3 G67c,Cuentos Rusos,"Gorki, Máximo…","Salvat Editores, S.A.",182,-,1,f,640.0
893.3 T65m,"Muerte de Iván Ilich, La; Diablo, El; Padre Sergio, El","Tolstoi, León","Salvat Editores, S.A.",190,-,1,f,641.0
930 P27h,"Humanidad Prehistórica, La","Pericot, Luis…","Salvat Editores, S.A.",198,-,1,f,642.0
A863 C67i,"Isla a mediodía y Otros Relatos, La","Cortázar, Julio","Salvat Editores, S.A.",202,-,1,f,643.0
A863 M15v,"Vínculo, El","Mallea, Eduardo","Salvat Editores, S.A.",178,-,1,f,644.0
A863 S17r,Recuerdos de Provincia,"Sarmineto, Domingo Faustino","Salvat Editores, S.A.",172,-,1,f,645.0
Ch863 D66c,Coronación,"Donoso, José","Salvat Editores, S.A.",188,-,1,f,646.0
G863 A88l,Leyendas de Gustemala,"Asturias, Miguel Ángel","Salvat Editores, S.A.",172,-,1,f,647.0
M863 Y16t,"Tierras Flacas, Las","Yáñez, Agustín","Salvat Editores, S.A.",232,-,1,f,648.0
915 P65d,"División del Mundo, La","Polo, Marco",Instituto Colombiano de Cultura,192,-,1,f,649.0
U863 OP62a,"Astillero, El","Onetti, Juan Carlos","Salvat Editores, S.A.",170,-,1,f,650.0
813 P62c,Cuentos Extraños y Maravillosos,"Poe, Edgar Allan",Instituto Colombiano de Cultura,104,-,2,f,651.0
891.3 T87p,"Primer Amor, El - Asia","Turguéniev, Iván Serguéyevich","Salvat Editores, S.A.",134,-,1,f,652.0
823 A88e2,Emma II,"Austen, Jane","Salvat Editores, S.A.",214,-,1,f,653.0
823 A88e1,Emma,"Austen, Jane","Salvat Editores, S.A.",168,-,1,f,654.0
C868 A71t1,Transparencias de Colombia I,"Arciniegas, Germán",Instituto Colombiano de Cultura,160,-,1,f,655.0
C863 A74o,Ocho Cuentistas Colombianos,"Arias Ramírez, Fernando",Instituto Colombiano de Cultura,144,-,1,f,656.0
C867 S15c,Cuando Bogotá Tuvo Tranvía,"Samper Gnecco, Andrés",Instituto Colombiano de Cultura,128,-,1,f,657.0
808 A74s,"Siete Vidas de Midas, Las","Ariza, Susana de",Instituto Colombiano de Cultura,126,-,1,f,658.0
C862 R29t,Teatro para Niños,"Reyes, Carlos José",Instituto Colombiano de Cultura,96,-,1,f,659.0
